ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
AALI,AALI.JK,Astra Agro Lestari Tbk.,1997-12-09,1924688333,Utama,active,
ABBA,ABBA.JK,Mahaka Media Tbk.,2002-04-03,3935892857,Pemantauan Khusus,active,
ABDA,ABDA.JK,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680,Pemantauan Khusus,active,
ABMM,ABMM.JK,ABM Investama Tbk.,2011-12-06,2753165000,Utama,active,
ACES,ACES.JK,Aspirasi Hidup Indonesia Tbk.,2007-11-06,17120389700,Utama,active,
ACST,ACST.JK,Acset Indonusa Tbk.,2013-06-24,17675160000,Pemantauan Khusus,active,
ADES,ADES.JK,Akasha Wira International Tbk.,1994-06-13,589896800,Pengembangan,active,
ADHI,ADHI.JK,Adhi Karya (Persero) Tbk.,2004-03-18,8407608979,Utama,active,
AISA,AISA.JK,FKS Food Sejahtera Tbk.,1997-06-11,9311800000,Utama,active,
AKKU,AKKU.JK,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636,Pemantauan Khusus,active,
AKPI,AKPI.JK,Argha Karya Prima Industry Tbk,1992-12-18,612248000,Pengembangan,active,
AKRA,AKRA.JK,AKR Corporindo Tbk.,1994-10-03,20073474600,Utama,active,
AKSI,AKSI.JK,Mineral Sumberdaya Mandiri Tbk,2001-07-13,720000000,Pengembangan,active,
ALDO,ALDO.JK,Alkindo Naratama Tbk.,2011-07-12,2700713744,Pengembangan,active,
ALKA,ALKA.JK,Alakasa Industrindo Tbk,1990-07-12,507665055,Pengembangan,active,
ALMI,ALMI.JK,Alumindo Light Metal Industry,1997-01-02,3816000000,Pemantauan Khusus,active,
ALTO,ALTO.JK,Tri Banyan Tirta Tbk.,2012-07-10,2191870558,Pemantauan Khusus,active,
AMAG,AMAG.JK,Asuransi Multi Artha Guna Tbk.,2005-12-23,5001552516,Pengembangan,active,
AMFG,AMFG.JK,Asahimas Flat Glass Tbk.,1995-11-08,434000000,Pengembangan,active,
AMIN,AMIN.JK,Ateliers Mecaniques D Indonesi,2015-12-10,1080000000,Pengembangan,active,
AMRT,AMRT.JK,Sumber Alfaria Trijaya Tbk.,2009-01-15,41524501700,Utama,active,
ANJT,ANJT.JK,Austindo Nusantara Jaya Tbk.,2013-05-08,3354175000,Pengembangan,active,
ANTM,ANTM.JK,Aneka Tambang Tbk.,1997-11-27,24030764725,Utama,active,
APEX,APEX.JK,Apexindo Pratama Duta Tbk.,2013-06-05,3546466661,Pengembangan,active,
APIC,APIC.JK,Pacific Strategic Financial Tb,2002-12-18,11766313488,Pengembangan,active,
APII,APII.JK,Arita Prima Indonesia Tbk.,2013-10-29,1075760000,Pengembangan,active,
APLI,APLI.JK,Asiaplast Industries Tbk.,2000-05-01,1362671400,Pengembangan,active,
APLN,APLN.JK,Agung Podomoro Land Tbk.,2010-11-11,22699326779,Utama,active,
ARGO,ARGO.JK,Argo Pantes Tbk,1991-01-07,3174339029,Pengembangan,active,
ARII,ARII.JK,Atlas Resources Tbk.,2011-11-08,3750000000,Pengembangan,active,
ARNA,ARNA.JK,Arwana Citramulia Tbk.,2001-07-17,7341430976,Utama,active,
ARTA,ARTA.JK,Arthavest Tbk,2002-11-05,446674175,Pengembangan,active,
ARTI,ARTI.JK,Ratu Prabu Energi Tbk,2003-04-30,7840000000,Pemantauan Khusus,active,
ARTO,ARTO.JK,Bank Jago Tbk.,2016-01-12,13722768400,Utama,active,
ASBI,ASBI.JK,Asuransi Bintang Tbk.,1989-11-29,348386472,Pengembangan,active,
ASDM,ASDM.JK,Asuransi Dayin Mitra Tbk.,1989-12-15,384000000,Pengembangan,active,
ASGR,ASGR.JK,Astra Graphia Tbk.,1989-11-15,1348780500,Utama,active,
ASII,ASII.JK,Astra International Tbk.,1990-04-04,40483553140,Utama,active,
ASJT,ASJT.JK,Asuransi Jasa Tania Tbk.,2003-12-23,1400000000,Pengembangan,active,
ASMI,ASMI.JK,Asuransi Maximus Graha Persada,2014-01-16,8958380460,Pemantauan Khusus,active,
